Date,Close
2/4/2021,45200
2/5/2021,45700
2/8/2021,45700
2/9/2021,45700
2/10/2021,45700
2/11/2021,45700
2/12/2021,47000
2/15/2021,47000
2/16/2021,47000
2/17/2021,48000
2/18/2021,49000
2/19/2021,51000
2/22/2021,50983
2/23/2021,51965
2/24/2021,52000
2/25/2021,51996.5
2/26/2021,51993
3/1/2021,52800
3/2/2021,52796
3/3/2021,52792
3/4/2021,52788
3/5/2021,52784
3/8/2021,52780
3/9/2021,52777
3/10/2021,52774
3/11/2021,52770.5
3/12/2021,52767
3/15/2021,52763
3/16/2021,52759
3/17/2021,52755
3/18/2021,52751.5
3/19/2021,52748
3/22/2021,52744
3/23/2021,52740
3/24/2021,52376
3/25/2021,52372
3/26/2021,51868
3/29/2021,51114
3/30/2021,50611
3/31/2021,50107.5
4/1/2021,50104
4/6/2021,50100
4/7/2021,49847
4/8/2021,49844
4/9/2021,49840
4/12/2021,49836
4/13/2021,49833
4/14/2021,49830
4/15/2021,49826
4/16/2021,49822
4/19/2021,49819
4/20/2021,49815
4/21/2021,49811
4/22/2021,49807
4/23/2021,49803
4/26/2021,46500
4/27/2021,46496
4/28/2021,47142
4/29/2021,47139
4/30/2021,45200
5/4/2021,45196.5
5/5/2021,45193
5/6/2021,45189
5/7/2021,45185.5
5/10/2021,45182
5/11/2021,44649
5/12/2021,44645
5/13/2021,44642
5/14/2021,44100
5/17/2021,44095
5/18/2021,43650
5/19/2021,43650
5/20/2021,43615
5/21/2021,43615
5/24/2021,43615
5/25/2021,43615
5/26/2021,43615
5/27/2021,43615
5/28/2021,43615
6/1/2021,43615
6/2/2021,43615
6/3/2021,42500
6/4/2021,42500
6/7/2021,42500
6/8/2021,42500
6/9/2021,42500
6/10/2021,42500
6/11/2021,42500
6/14/2021,42500
6/15/2021,42501
6/16/2021,42498
6/17/2021,44502
6/18/2021,44503
6/21/2021,44487
6/22/2021,45499
6/23/2021,45496
6/24/2021,45495
6/25/2021,45495
6/28/2021,45479
6/29/2021,48501
6/30/2021,49600
7/1/2021,50500
7/2/2021,50500
7/5/2021,50483
7/6/2021,50479
7/7/2021,50475
7/8/2021,50471
7/9/2021,50471
7/12/2021,50454
7/13/2021,50450
7/14/2021,52500
7/15/2021,52495.5
7/16/2021,52495.5
7/19/2021,52477.5
7/20/2021,52473
7/21/2021,52468
7/22/2021,52463
7/23/2021,52463
7/26/2021,52441
7/27/2021,52436
7/28/2021,52431
7/29/2021,52426
7/30/2021,52426
8/2/2021,52404
8/3/2021,52399
8/4/2021,52394
8/5/2021,52389
8/6/2021,52389
8/9/2021,52367
8/10/2021,52361.5
8/11/2021,52350.5
8/12/2021,52350.5
8/13/2021,52350.5
8/16/2021,52328.5
8/17/2021,52000
8/18/2021,51197
8/19/2021,51198
8/20/2021,51200
8/23/2021,51181
8/24/2021,51178
8/25/2021,50100
8/26/2021,50109
8/27/2021,50111.5
